pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
37,LIB3-CON3,0.0909,0.5455,1.1818,1.1818,1.2727,1.0000,1.0909,0.3636,1.5455,0.7273,0.5455,0.6364,0.9091,0.9091,0.9091,1.3636,1.1818,0.7273,0.5455,16.7273
38,LIB3-LIB1,0.1477,0.6364,0.8295,0.8182,0.5114,0.3750,0.4091,0.1705,0.6136,0.4318,0.4432,0.4659,0.7386,0.3977,0.8523,0.9205,0.8864,0.7500,0.2386,10.6364
39,LIB3-LIB2,0.1364,0.7386,0.6288,0.6629,0.4053,0.3636,0.4432,0.1553,0.6629,0.5189,0.5758,0.4886,0.6705,0.4508,0.7652,0.9091,0.9242,0.8295,0.2917,10.6212
40,LIB3-LIB3,0.0992,0.6777,0.7107,0.5124,0.4628,0.4793,0.6446,0.2645,0.7769,0.4463,0.2975,0.2645,0.3636,0.2314,0.5124,0.6777,0.6942,0.7769,0.3140,9.2066
41,LIB3-NEUT,0.1818,0.7879,0.7374,0.8485,0.6162,0.5152,0.5859,0.1818,0.8485,0.6061,0.4242,0.3737,0.7273,0.4646,0.7475,0.7273,0.6768,0.4747,0.2424,10.7677
42,NEUT-CON1,0.2222,0.6889,0.5556,0.7556,0.3778,0.4222,0.5333,0.1556,0.4667,0.4667,0.4667,0.4667,0.7556,0.6222,0.5556,0.6222,0.5333,0.2889,0.1111,9.0667
43,NEUT-CON2,0.7778,1.3333,1.2222,0.8889,1.2222,0.8889,1.1111,0.5556,1.3333,1.2222,1.1111,0.7778,1.2222,0.6667,0.6667,0.5556,0.5556,0.5556,0.0000,16.6667
44,NEUT-CON3,0.1111,0.5556,1.1111,1.3333,1.2222,1.2222,0.8889,0.1111,0.7778,0.8889,0.7778,0.8889,1.4444,1.2222,1.1111,1.3333,1.0000,0.1111,0.6667,16.7778
45,NEUT-LIB1,0.2361,0.7222,0.9444,1.0139,0.5278,0.3889,0.3889,0.1806,0.5556,0.4861,0.4028,0.5000,0.9722,0.6944,1.0417,0.8750,0.6667,0.4722,0.2778,11.3472
46,NEUT-LIB2,0.1852,0.8519,0.8056,0.8194,0.4352,0.3009,0.3796,0.1389,0.5509,0.6620,0.6435,0.5556,0.9583,0.8194,0.9676,0.9352,0.8380,0.6111,0.3009,11.7593
47,NEUT-LIB3,0.1818,0.7879,0.7374,0.8485,0.6162,0.5152,0.5859,0.1818,0.8485,0.6061,0.4242,0.3737,0.7273,0.4646,0.7475,0.7273,0.6768,0.4747,0.2424,10.7677
48,NEUT-NEUT,0.1728,0.7901,0.8395,1.0370,0.4691,0.4691,0.4444,0.1235,0.7160,0.6173,0.4691,0.4198,0.6173,0.4938,0.7160,0.6173,0.4198,0.1975,0.2222,9.8519
