,freq,source,target
232,1,62.0,38.0
233,3,52.0,4.0
234,83,76.0,77.0
235,14,24.0,27.0
236,8,76.0,43.0
237,1,50.0,50.0
238,1067,1.0,1.0
239,4,15.0,49.0
240,6,45.0,65.0
241,2,33.0,76.0
242,2,23.0,72.0
243,1,4.0,16.0
244,22,9.0,50.0
245,229,31.0,24.0
246,2,46.0,32.0
247,4,54.0,32.0
248,8,44.0,14.0
249,55,29.0,76.0
250,17,35.0,9.0
251,24,80.0,44.0
252,237,11.0,16.0
253,20,27.0,21.0
254,3,63.0,16.0
255,3,55.0,55.0
256,2,27.0,11.0
257,2,10.0,65.0
258,6,4.0,31.0
259,2,22.0,62.0
260,5,46.0,43.0
261,1,59.0,65.0
262,3,30.0,46.0
263,3,61.0,37.0
264,46,68.0,32.0
265,36,60.0,30.0
266,6,43.0,62.0
267,4,67.0,77.0
268,1,57.0,21.0
269,4,52.0,24.0
270,2,48.0,18.0
271,32,4.0,44.0
272,2,67.0,6.0
273,8,56.0,33.0
274,10,46.0,20.0
275,5,23.0,18.0
276,2,6.0,46.0
277,6,36.0,42.0
278,4,67.0,44.0
279,80,68.0,47.0
280,7,22.0,70.0
281,5,71.0,18.0
282,10,43.0,55.0
283,3,67.0,50.0
284,3,63.0,56.0
285,1,77.0,41.0
286,28,36.0,30.0
287,2,72.0,22.0
288,4,68.0,68.0
289,499,52.0,7.0
290,74,21.0,31.0
291,26,67.0,15.0
292,1,20.0,22.0
293,33,33.0,58.0
294,1,43.0,22.0
295,2,67.0,21.0
296,6,60.0,44.0
297,1,29.0,29.0
298,3,77.0,40.0
299,37,25.0,2.0
300,69,8.0,70.0
301,40,63.0,21.0
302,2,51.0,51.0
303,7,28.0,55.0
304,53,7.0,7.0
305,17,55.0,9.0
306,7,16.0,21.0
307,26,21.0,16.0
308,2,56.0,21.0
309,4,59.0,32.0
310,10,44.0,36.0
311,1,36.0,38.0
312,18,31.0,27.0
313,1,59.0,6.0
314,14,71.0,30.0
315,2,15.0,18.0
316,19,37.0,1.0
317,4,44.0,60.0
318,46,27.0,23.0
319,4,52.0,21.0
320,15,46.0,71.0
321,3,75.0,23.0
322,78,21.0,63.0
