,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
216,43.0,64.0,50,0,0,1,2,2,7,25,28,36,50,50,50,50,50,50,50,50,50,50,50
217,43.0,70.0,13,0,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
218,44.0,4.0,15,1,1,12,12,12,12,13,13,13,13,13,15,15,15,15,15,15,15,15,15
219,44.0,6.0,11,2,2,4,4,4,4,4,4,4,5,8,10,10,10,10,10,10,11,11,11
220,44.0,12.0,19,0,3,4,4,4,6,8,9,9,15,16,19,19,19,19,19,19,19,19,19
221,44.0,14.0,8,0,0,2,3,3,3,3,3,3,3,3,3,4,4,7,8,8,8,8,8
222,44.0,18.0,23,0,0,0,0,1,1,1,16,16,19,19,23,23,23,23,23,23,23,23,23
223,44.0,19.0,4,0,0,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
224,44.0,21.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,44.0,22.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,8,8
226,44.0,23.0,8,0,0,2,2,3,3,4,4,4,4,4,4,4,4,4,4,8,8,8,8
227,44.0,30.0,2,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
228,44.0,36.0,10,0,0,1,1,4,4,4,4,4,4,7,7,7,7,7,7,10,10,10,10
229,44.0,42.0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
230,44.0,43.0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
231,44.0,46.0,51,6,11,13,13,22,23,26,33,33,35,38,38,38,39,40,40,47,51,51,51
232,44.0,50.0,13,0,0,0,0,0,0,0,0,0,8,9,13,13,13,13,13,13,13,13,13
233,44.0,60.0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4
234,44.0,64.0,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4
235,44.0,65.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,44.0,71.0,8,0,1,1,2,4,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8
237,45.0,9.0,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
238,45.0,50.0,3,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3
239,45.0,65.0,6,0,0,0,0,0,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6
240,46.0,6.0,7,0,0,0,0,0,0,1,1,1,1,3,4,5,5,5,6,6,7,7,7
241,46.0,14.0,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3
242,46.0,20.0,10,1,2,3,3,3,3,3,8,9,9,9,9,9,9,9,10,10,10,10,10
243,46.0,23.0,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
244,46.0,30.0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
245,46.0,32.0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
246,46.0,36.0,11,0,1,1,1,3,3,6,6,6,6,6,6,7,7,7,11,11,11,11,11
247,46.0,43.0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,5,5
248,46.0,44.0,62,2,8,14,15,24,25,29,44,44,48,50,50,50,51,52,54,61,62,62,62
249,46.0,71.0,15,0,2,2,4,6,8,8,8,10,10,14,14,14,15,15,15,15,15,15,15
250,46.0,77.0,3,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
251,47.0,6.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252,47.0,74.0,5,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
253,48.0,15.0,38,0,0,0,1,11,19,28,28,28,28,31,33,35,36,38,38,38,38,38,38
254,48.0,18.0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
255,50.0,22.0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256,50.0,44.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
257,50.0,47.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
258,51.0,12.0,12,0,0,5,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
259,51.0,35.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260,51.0,55.0,11,0,4,7,8,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
261,51.0,67.0,25,0,4,4,8,13,15,15,19,25,25,25,25,25,25,25,25,25,25,25,25
262,52.0,4.0,3,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
263,52.0,7.0,499,0,69,189,279,347,384,412,438,466,494,499,499,499,499,499,499,499,499,499,499
264,52.0,9.0,48,0,17,37,37,39,44,47,47,47,48,48,48,48,48,48,48,48,48,48,48
265,52.0,21.0,4,0,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
266,52.0,24.0,4,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4
267,52.0,31.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268,52.0,44.0,11,0,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
269,52.0,57.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,52.0,58.0,2,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
271,54.0,32.0,4,0,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
272,54.0,40.0,2,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
273,54.0,62.0,6,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
274,54.0,68.0,7,0,0,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
275,54.0,70.0,7,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
276,55.0,7.0,112,0,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
277,55.0,9.0,17,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
278,55.0,12.0,281,0,0,26,44,111,136,173,210,225,235,253,255,274,281,281,281,281,281,281,281
