"user_id","time_stamp","duration","dest_user_id","dest_phone_hash"
19,2008-10-02 22:04:28,15,,"2088297235"
19,2008-10-02 22:03:57,17,,"2088297235"
19,2008-10-03 00:42:55,421,,"2939471263"
19,2008-10-03 00:42:06,0,,"2088297235"
19,2008-10-03 03:47:31,47,"18","3620995333"
19,2008-10-03 06:46:20,0,"22","3839293194"
19,2008-10-03 14:01:58,267,,"2939471263"
19,2008-10-03 13:51:41,0,"22","3839293194"
19,2008-10-03 22:57:14,26,,"1473893544"
19,2008-10-03 23:26:31,25,,"1473893544"
19,2008-10-04 23:35:46,73,,"193432260"
19,2008-10-04 23:34:00,75,,"193432260"
19,2008-10-04 23:33:14,28,,"193432260"
19,2008-10-04 22:22:02,0,,"2572569819"
19,2008-10-04 21:55:25,0,,"2032126828"
19,2008-10-04 16:28:21,54,,"2926842212"
19,2008-10-04 23:44:29,33,,"2926842212"
19,2008-10-04 23:40:38,202,,"2939471263"
19,2008-10-04 23:39:58,17,,"2939471263"
19,2008-10-05 15:16:26,276,,"2939471263"
19,2008-10-05 15:11:30,23,,"2369296379"
19,2008-10-05 21:14:03,61,,"2926842212"
19,2008-10-05 23:25:04,446,,"2572569819"
19,2008-10-05 23:04:44,0,,"932453050"
19,2008-10-05 23:03:25,400,,"932453050"
19,2008-10-06 16:33:24,186,,"2939471263"
19,2008-10-06 22:33:56,24,,"2926842212"
19,2008-10-06 22:32:42,48,,"2926842212"
19,2008-10-08 00:55:12,271,,"2939471263"
19,2008-10-07 19:12:35,100,,"2939471263"
19,2008-10-08 01:39:25,26,,"3801290212"
19,2008-10-08 01:34:38,49,,"2926842212"
19,2008-10-08 01:29:19,61,,"2926842212"
19,2008-10-08 02:18:48,23,,"2926842212"
19,2008-10-08 01:53:41,42,,"2926842212"
19,2008-10-08 20:15:20,0,,"2939471263"
19,2008-10-09 12:44:17,299,,"1853094371"
19,2008-10-09 23:11:47,166,,"2939471263"
19,2008-10-09 23:07:11,17,,"1989103241"
19,2008-10-09 23:06:22,14,,"1989103241"
19,2008-10-10 15:44:24,32,,"193432260"
19,2008-10-10 20:16:41,0,,"3403033349"
19,2008-10-10 20:12:56,0,,"3403033349"
19,2008-10-11 02:45:15,251,,"2939471263"
19,2008-10-11 02:44:05,43,,"193432260"
19,2008-10-11 00:16:14,0,,"1853094371"
19,2008-10-10 22:13:58,66,,"3403033349"
19,2008-10-10 22:08:09,45,,"3403033349"
19,2008-10-10 22:07:10,32,,"3801290212"
19,2008-10-10 21:52:32,0,,"3014642266"
19,2008-10-10 20:21:08,0,,"3403033349"
19,2008-10-12 01:24:38,441,,"2572569819"
19,2008-10-11 22:50:13,175,,"193432260"
19,2008-10-13 01:51:31,0,"65","1569256956"
19,2008-10-13 01:17:48,0,,"2959085295"
19,2008-10-13 16:47:07,54,,"2926842212"
19,2008-10-13 20:25:12,458,,"1853094371"
19,2008-10-14 03:42:27,483,,"1989103241"
19,2008-10-14 03:41:09,60,,"193432260"
19,2008-10-14 03:32:39,0,,"1989103241"
19,2008-10-14 00:39:36,0,,"1989103241"
19,2008-10-13 22:41:45,0,,"4019904494"
19,2008-10-13 22:08:34,21,,"1853094371"
19,2008-10-13 22:08:07,0,,"1853094371"
19,2008-10-13 22:07:57,25,,"2926842212"
19,2008-10-13 22:07:36,5,,"1853094371"
19,2008-10-14 03:54:56,17,"65","1569256956"
19,2008-10-16 00:48:19,0,,"2959085295"
19,2008-10-15 02:06:16,1245,,"1853094371"
19,2008-10-15 01:52:41,769,,"1989291805"
19,2008-10-15 01:51:51,34,,"193432260"
19,2008-10-14 23:14:05,0,,"1853094371"
19,2008-10-16 03:00:33,40,,"2926842212"
19,2008-10-16 03:00:13,0,,"4019904494"
19,2008-10-16 02:43:46,954,,"2939471263"
